Date,SPY,DIA
2005-01-03,81.17460632324219,66.79602813720703
2005-01-04,80.18270111083984,66.16118621826172
2005-01-05,79.62939453125,65.79393005371094
2005-01-06,80.03421783447266,65.99932861328125
2005-01-07,79.9195556640625,65.87483978271484
2005-01-10,80.29741668701172,66.09886169433594
2005-01-11,79.74409484863281,65.67567443847656
2005-01-12,80.00726318359375,65.99307250976562
2005-01-13,79.36622619628906,65.32093811035156
2005-01-14,79.78456115722656,65.62586975097656
2005-01-18,80.61457824707031,66.07402038574219
2005-01-19,79.77108001708984,65.50764465332031
2005-01-20,79.2852554321289,65.20264434814453
2005-01-21,78.7994384765625,64.69054412841797
2005-01-24,78.64423370361328,64.6344985961914
2005-01-25,78.86688232421875,65.15775299072266
2005-01-26,79.10305786132812,65.2824478149414
2005-01-27,79.23799133300781,65.14531707763672
2005-01-28,79.23799133300781,65.06432342529297
2005-01-31,79.73060607910156,65.28861236572266
2005-02-01,80.23667907714844,65.6623764038086
2005-02-02,80.47957611083984,65.96142578125
2005-02-03,80.2704086303711,65.97390747070312
2005-02-04,81.12736511230469,66.65924072265625
2005-02-07,81.01942443847656,66.6653823852539
2005-02-08,81.11387634277344,66.81495666503906
2005-02-09,80.50659942626953,66.49720764160156
2005-02-10,80.79673767089844,66.97068786621094
2005-02-11,81.49173736572266,67.33822631835938
2005-02-14,81.4310302734375,67.2697525024414
2005-02-15,81.73466491699219,67.57496643066406
2005-02-16,81.78863525390625,67.56251525878906
2005-02-17,81.12736511230469,67.10771942138672
2005-02-18,81.2353286743164,67.3124771118164
2005-02-22,80.02748107910156,66.18865966796875
2005-02-23,80.60104370117188,66.70062255859375
2005-02-24,81.13411712646484,67.06277465820312
2005-02-25,81.93708801269531,67.65589141845703
2005-02-28,81.39728546142578,67.24381256103516
2005-03-01,81.80213928222656,67.57476806640625
2005-03-02,81.76168060302734,67.474853515625
2005-03-03,81.79539489746094,67.58720397949219
2005-03-04,82.81429290771484,68.39260864257812
2005-03-07,82.85477447509766,68.26155090332031
2005-03-08,82.54438018798828,68.15540313720703
2005-03-09,81.62673950195312,67.43737030029297
2005-03-10,81.80890655517578,67.72459411621094
2005-03-11,81.2353286743164,67.33130645751953
2005-03-14,81.74137878417969,67.5185546875
2005-03-15,81.06664276123047,67.16268920898438
2005-03-16,80.37840270996094,66.40095520019531
2005-03-17,80.54032135009766,66.36349487304688
2005-03-18,80.30123138427734,66.26220703125
2005-03-21,80.00311279296875,65.92453002929688
2005-03-22,79.19023132324219,65.367919921875
2005-03-23,79.25796508789062,65.29290771484375
2005-03-24,79.35279083251953,65.31165313720703
2005-03-28,79.46795654296875,65.51181030273438
2005-03-29,78.9395751953125,65.08021545410156
2005-03-30,80.05733489990234,65.87448120117188
2005-03-31,79.90828704833984,65.65558624267578
2005-04-01,79.54924774169922,65.06770324707031
2005-04-04,79.68475341796875,65.17407989501953
2005-04-05,80.06409454345703,65.40545654296875
2005-04-06,80.3418197631836,65.67436981201172
2005-04-07,80.7753677368164,65.9870376586914
2005-04-08,79.93537139892578,65.37418365478516
2005-04-11,79.996337890625,65.33040618896484
2005-04-12,80.4095687866211,65.65558624267578
2005-04-13,79.46118927001953,65.02398681640625
2005-04-14,78.42475891113281,64.03594207763672
2005-04-15,77.32730865478516,63.01837921142578
2005-04-18,77.56441497802734,62.924495697021484
2005-04-19,78.18087005615234,63.3625373840332
2005-04-20,77.0902328491211,62.66794204711914
2005-04-21,78.58731842041016,63.90699768066406
2005-04-22,78.28919982910156,63.72553634643555
2005-04-25,78.8040771484375,64.08228302001953
2005-04-26,78.03861236572266,63.52527618408203
2005-04-27,78.34343719482422,63.76933288574219
2005-04-28,77.36121368408203,62.9057502746582
2005-04-29,78.41117095947266,63.7568244934082
2005-05-02,78.85151672363281,64.19485473632812
2005-05-03,78.98698425292969,64.38890075683594
2005-05-04,79.5967025756836,64.9395751953125
2005-05-05,79.56957244873047,64.77063751220703
2005-05-06,79.31891632080078,64.72679901123047
2005-05-09,79.81344604492188,64.92707824707031
2005-05-10,78.98698425292969,64.26994323730469
2005-05-11,79.42057037353516,64.4701919555664
2005-05-12,78.54669952392578,63.78812789916992
2005-05-13,78.39087677001953,63.625404357910156
2005-05-16,79.1224594116211,64.23243713378906
2005-05-17,79.6508560180664,64.7643814086914
2005-05-18,80.47052764892578,65.60920715332031
2005-05-19,80.80924224853516,65.79695892333984
2005-05-20,80.6941146850586,65.68704986572266
2005-05-23,81.14116668701172,66.0574951171875
2005-05-24,80.95149993896484,65.81260681152344
2005-05-25,80.8905258178711,65.66197967529297
2005-05-26,81.32406616210938,66.08887481689453
2005-05-27,81.4595718383789,66.1516342163086
2005-05-31,80.9379653930664,65.68704986572266
2005-06-01,81.62897491455078,66.12651062011719
2005-06-02,81.8050308227539,66.21438598632812
2005-06-03,81.391845703125,65.74349975585938
2005-06-06,81.31732177734375,65.68704986572266
2005-06-07,81.3782730102539,65.84402465820312
2005-06-08,81.22924041748047,65.7938461303711
2005-06-09,81.6153793334961,65.90682983398438
2005-06-10,81.42569732666016,66.0261459350586
2005-06-13,81.6831283569336,66.1328125
2005-06-14,81.8727798461914,66.27718353271484
2005-06-15,82.02861785888672,66.38392639160156
2005-06-16,82.23861694335938,66.40904235839844
2005-06-17,82.5433120727539,66.64412689208984
2005-06-20,82.5705337524414,66.5938491821289
2005-06-21,82.6181411743164,66.61896514892578
2005-06-22,82.6861343383789,66.6314926147461
2005-06-23,81.52310180664062,65.3934326171875
2005-06-24,80.9245376586914,64.64553833007812
2005-06-27,81.04015350341797,64.7021255493164
2005-06-28,81.72034454345703,65.34939575195312
2005-06-29,81.50269317626953,65.110595703125
2005-06-30,81.06060791015625,64.5763931274414
2005-07-01,81.29862213134766,64.8089370727539
2005-07-05,81.95158386230469,65.1294937133789
2005-07-06,81.26464080810547,64.52613067626953
2005-07-07,81.58431243896484,64.82149505615234
2005-07-08,82.51612854003906,65.71401977539062
2005-07-11,82.93783569335938,66.14134216308594
2005-07-12,83.15546417236328,66.0533218383789
2005-07-13,83.2710952758789,66.3864517211914
2005-07-14,83.59754943847656,66.88291931152344
2005-07-15,83.54991912841797,66.86028289794922
2005-07-18,83.2166748046875,66.62753295898438
2005-07-19,83.67235565185547,66.99238586425781
2005-07-20,83.95803833007812,67.11188507080078
2005-07-21,83.46833038330078,66.79735565185547
2005-07-22,84.02603912353516,66.97975158691406
2005-07-25,83.78800201416016,66.75963592529297
2005-07-26,83.89002227783203,66.56465911865234
2005-07-27,84.19605255126953,66.89800262451172
2005-07-28,84.72662353515625,67.35086059570312
2005-07-29,84.1620864868164,67.07418060302734
2005-08-01,84.1008529663086,66.79735565185547
2005-08-02,84.60418701171875,67.12447357177734
2005-08-03,84.82860565185547,67.30689239501953
2005-08-04,84.14849853515625,66.7533187866211
2005-08-05,83.57713317871094,66.4576644897461
2005-08-08,83.42068481445312,66.38853454589844
2005-08-09,83.92402648925781,66.8476791381836
2005-08-10,83.8832015991211,66.82874298095703
2005-08-11,84.21648406982422,67.22509765625
2005-08-12,83.69960021972656,66.68417358398438
2005-08-15,84.21648406982422,67.06787109375
2005-08-16,83.12142181396484,66.30045318603516
2005-08-17,83.11466979980469,66.47651672363281
2005-08-18,83.10783386230469,66.52687072753906
2005-08-19,83.29827880859375,66.702880859375
2005-08-22,83.29827880859375,66.65872192382812
2005-08-23,83.14185333251953,66.41896057128906
2005-08-24,82.40046691894531,65.72501373291016
2005-08-25,82.69975280761719,65.90161895751953
2005-08-26,82.13519287109375,65.5484848022461
2005-08-29,82.76777648925781,66.01522064208984
2005-08-30,82.33248901367188,65.61149597167969
2005-08-31,83.37310028076172,66.1729965209961
2005-09-01,83.3118667602539,65.99004364013672
2005-09-02,83.16224670410156,65.99004364013672
2005-09-06,84.1348876953125,66.7659683227539
2005-09-07,84.2776870727539,67.01844787597656
2005-09-08,83.99884033203125,66.81648254394531
2005-09-09,84.74702453613281,67.35272979736328
2005-09-12,84.57697296142578,67.38420867919922
2005-09-13,84.10765838623047,66.94265747070312
2005-09-14,83.8016128540039,66.60195922851562
2005-09-15,83.76081085205078,66.65872192382812
