Date,SPY,TLT,UUP,GLD
2007-03-01,98.26806640625,49.18779373168945,20.54920768737793,65.81999969482422
2007-03-02,96.9811782836914,49.434425354003906,20.540977478027344,63.709999084472656
2007-03-05,96.05805969238281,49.51666259765625,20.67265510559082,62.93000030517578
2007-03-06,97.70153045654297,49.3686637878418,20.656192779541016,64.1500015258789
2007-03-07,97.60365295410156,49.56050491333008,20.57390022277832,64.30000305175781
2007-03-08,98.42890167236328,49.51666259765625,20.67265510559082,64.4800033569336
2007-03-09,98.45687866210938,48.99597930908203,20.705568313598633,64.25
2007-03-12,98.60379028320312,49.18779373168945,20.639734268188477,64.37000274658203
2007-03-13,96.6874771118164,49.48373794555664,20.590356826782227,63.720001220703125
2007-03-14,97.40779876708984,49.25904083251953,20.540977478027344,63.939998626708984
2007-03-15,97.54068756103516,49.25355529785156,20.540977478027344,63.97999954223633
2007-03-16,97.26756286621094,49.24260711669922,20.466917037963867,64.62000274658203
2007-03-19,98.44014739990234,49.13850784301758,20.57390022277832,64.73999786376953
2007-03-20,98.98079681396484,49.16591262817383,20.450454711914062,65.2699966430664
2007-03-21,100.60977935791016,49.18779373168945,20.39284896850586,65.81999969482422
2007-03-22,100.53250885009766,48.79872512817383,20.39284896850586,65.76000213623047
2007-03-23,100.67996215820312,48.661685943603516,20.516292572021484,65.1500015258789
2007-03-26,100.54653930664062,48.72197341918945,20.450454711914062,65.83999633789062
2007-03-27,100.30780029296875,48.63974380493164,20.44222640991211,65.69999694824219
2007-03-28,99.57766723632812,48.54107666015625,20.44222640991211,66.05000305175781
2007-03-29,99.68293762207031,48.47536849975586,20.466917037963867,65.6500015258789
2007-03-30,99.70402526855469,48.382179260253906,20.401079177856445,65.73999786376953
2007-04-02,99.81632995605469,48.46250915527344,20.450454711914062,65.8499984741211
2007-04-03,100.89060974121094,48.4019889831543,20.475143432617188,65.83000183105469
2007-04-04,101.00296783447266,48.45148849487305,20.450454711914062,66.80999755859375
2007-04-05,101.27684020996094,48.26994323730469,20.384618759155273,66.86000061035156
2007-04-09,101.417236328125,47.95092010498047,20.516292572021484,66.52999877929688
2007-04-10,101.53657531738281,48.09394454956055,20.450454711914062,67.16000366210938
2007-04-11,101.12232208251953,48.06090545654297,20.450454711914062,67.08000183105469
2007-04-12,101.57166290283203,48.07194900512695,20.32701301574707,66.98999786376953
2007-04-13,102.03504943847656,47.923397064208984,20.318782806396484,67.83999633789062
2007-04-16,103.0040512084961,48.187442779541016,20.23649024963379,68.4000015258789
2007-04-17,103.27787780761719,48.45698547363281,20.228256225585938,68.0
2007-04-18,103.40424346923828,48.69900894165039,20.203569412231445,68.37999725341797
2007-04-19,103.37622833251953,48.61650466918945,20.203569412231445,67.52999877929688
